SMILES,BBB_Martins,PPBR_AZ,VDss_Lombardo
CCCC(C)C,1.0,,
C[C@H](N)Cc1ccccc1,1.0,,
CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1,0.0,,
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,1.0,,
CCNC(=NC#N)NCCSCc1ncccc1Br,0.0,,
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,1.0,,
CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1,1.0,,
FC(F)(F)c1ccc(N2CCNCC2)nc1Cl,1.0,,
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1.0,,
CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O,1.0,,
CCOC(=O)c1cncn1C(C)c1ccccc1,1.0,,
CN(C)c1cc(-c2nc(N)n[nH]2)ccn1,0.0,,
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,1.0,,
Nc1ccc(-c2nc3ccc(O)cc3s2)cc1I,1.0,,
CN1[C@H]2CCC[C@@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2,1.0,,
CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,1.0,,
Cc1cccc(C)c1OCC(C)N,1.0,,
CN(C)Cc1ccc(-c2cccc(NC3N=CC=C3[N+](=O)[O-])c2)o1,1.0,,
Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,1.0,,
CN(C)CCc1ccccn1,1.0,,
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,1.0,,
CCc1ccccc1,1.0,,
NC(N)=Nc1nc(-c2cccc(N)c2)cs1,1.0,,
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,1.0,,
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,1.0,,
NCCCN1c2ccccc2Sc2ccc(Cl)cc21,1.0,,
CNCCc1ccccn1,1.0,,
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,1.0,,
CCC(NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,1.0,,
O=S(=O)(c1ccc2cc[nH]c2c1)N1CCCC1CCN1CCC(Oc2cccc(Cl)c2)CC1,1.0,,
CN1Cc2c(-c3noc(C(C)(C)O)n3)ncn2-c2cccc(Cl)c2C1=O,0.0,,
NC(=O)N1c2ccccc2C2OC2c2ccccc21,1.0,,
CCCN(CCC)CCc1ccc(O)c2c1CC(=O)N2,1.0,,
CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,1.0,,
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,1.0,,
c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3o2)c1,1.0,,
NCCc1cn2ccccc2n1,0.0,,
Cc1ncc([N+](=O)[O-])n1CC(O)CCl,1.0,,
CCCN(CCC)CCc1cccc2c1CC(=O)N2,1.0,,
Clc1ccc2c(c1)C1CNCC1c1ccccc1O2,1.0,,
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1,1.0,,
c1ccc(NCCCOc2cccc(CN3CCCCC3)c2)nc1,1.0,,
Cc1cccc2c1Oc1ccccc1C1(O)CCNCC21,1.0,,
O=[N+]([O-])C1=CC=NC1NCCSCc1ncccc1Br,1.0,,
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,1.0,,
OCCCOc1cccc(CN2CCCCC2)c1,1.0,,
Cc1ncsc1CCCl,1.0,,
CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,1.0,,
FC(F)(F)CCl,1.0,,
CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,1.0,,
C=CCC(N)c1ccccc1-c1noc2ccccc12,1.0,,
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,1.0,,
CC(=O)Nc1ccc(O)cc1,1.0,,
Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN,0.0,,
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,0.0,,
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O.O.O.O,0.0,,
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0.0,,
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0.0,,
FC(F)(F)c1ccc2c(c1)N(CCCN1CCN(CCC3OCCCO3)CC1)c1ccccc1S2.O=C(O)CCC(=O)O,1.0,,
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,1.0,,
O=c1[nH]c2ccccc2n1C1CCN(CCOc2ccccc2)CC1,1.0,,
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,1.0,,
NC1=NC(=O)C(c2ccccc2)O1,1.0,,
CCc1cc(C(N)=S)ccn1,1.0,,
NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,1.0,,
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,1.0,,
O=C([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+],1.0,,
NCC1(CC(=O)O)CCCCC1,1.0,,
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,0.0,,
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,0.0,,
CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12.[Cl-].[H+],0.0,,
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.0,,
Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1.[Na+],0.0,,
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1,0.0,,
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,0.0,,
CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,1.0,,
c1ccc(C2(N3CCCCC3)CCCCC2)cc1,1.0,,
NNCCc1ccccc1.O=S(=O)(O)O,1.0,,
NC(=O)OCCCc1ccccc1,1.0,,
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,1.0,,
NCC(O)c1ccc(O)c(O)c1,0.0,,
Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,0.0,,
OC[C@H]1O[C@@H](n2cnc3c2NC=NC[C@H]3O)C[C@@H]1O,1.0,,
CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)[O-],0.0,,
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,0.0,,
NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,0.0,,
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,0.0,,
CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,0.0,,
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,0.0,,
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,0.0,,
CC(C)(Oc1ccc(Cl)cc1)C(=O)O,0.0,,
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,0.0,,
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,0.0,,
OCCC1CCN(CC/C=C2\c3ccc(F)cc3Sc3ccc(C(F)(F)F)cc32)CC1,1.0,,
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1.0,,
OCCN1CCN(CC/C=C2/c3ccccc3COc3ccc(Cl)cc32)CC1,1.0,,
NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,1.0,,
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,1.0,,
CCN(CC)CCOC(=O)c1ccc(N)cc1,1.0,,
OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,1.0,,
CN(C)CCCN1c2ccccc2Sc2ccccc21,1.0,,
CC(C)NCC(O)COc1cccc2[nH]ccc12,1.0,,
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,0.0,,
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,1.0,,
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,0.0,,0.77
NC1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12,1.0,,
O=c1ccc2ccccc2o1,0.0,,
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.0,,
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@@]21C,0.0,,
O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,0.0,,
CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,0.0,,
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,0.0,,
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,0.0,,
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,0.0,,
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,0.0,,
CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,1.0,,
CC(C)c1cccc(C(C)C)c1O,1.0,,
O=c1cc[nH]nc1,1.0,,
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,1.0,,
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,1.0,,
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,1.0,,
O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1,0.0,,
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,0.0,,
CC(C[N+](C)(C)C)OC(N)=O.[Cl-],0.0,,
CC[N+](C)(C)Cc1ccccc1Br.Cc1ccc(S(=O)(=O)[O-])cc1,0.0,,
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,0.0,,
CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,1.0,,
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,0.0,,
CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1.[Cl],0.0,,
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,0.0,,
CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(N)=O,0.0,,
CN[C@@H](C)[C@H](O)c1ccccc1,0.0,,
Nc1c2c(nc3ccccc13)CCCC2,1.0,,
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,1.0,,
COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,1.0,,
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,1.0,,
COC1=CC=C2[C@H]3Cc4ccc(OC)c5c4[C@@]2(CCN3C)[C@H]1O5,1.0,,
N[C@@H]1C[C@H]1c1ccccc1.[Cl-].[H+],1.0,,
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,1.0,,
CS(=O)(=O)OCCCCOS(C)(=O)=O,1.0,,
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,1.0,,
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC.O,1.0,,
Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,1.0,,
C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2.[Br-],0.0,,
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,0.0,,
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,0.0,,
CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,0.0,,
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,0.0,,
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,0.0,,
C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1.[Br-],0.0,,
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,1.0,,
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,1.0,,
COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC,1.0,,
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,1.0,,
CCCCNC(=O)OCC(C)(CCC)COC(N)=O,1.0,,
O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,1.0,,
CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1,1.0,,
NC1CONC1=O,1.0,,
NC(=O)NO,1.0,,
NC(N)=N/N=C/c1c(Cl)cccc1Cl,0.0,,
CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,0.0,,
NNc1nncc2ccccc12,0.0,,
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,0.0,,
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,0.0,,
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,0.0,,
CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.0,,
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0.0,,
CN1Cc2c(-c3noc([C@](C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,0.0,,
NCCc1cn2ccccc2n1,0.0,,
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCC[C@H]2O,1.0,,
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,1.0,,0.8
O=NN(CCCl)C(=O)NCCCl,1.0,,
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,0.0,,
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,1.0,,
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,0.0,,
C[C@H](N)[C@H](O)c1cccc(O)c1,0.0,,
CC(C)NCC(O)c1ccc(O)c(O)c1,0.0,,
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,0.0,,
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.0,,
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,0.0,,
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,1.0,,
C=C1c2c(Cl)ccc(O)c2C(O)=C2C(=O)C3(O)C(=O)/C(=C(/N)O)C(=O)C(N(C)C)C3C(O)C12,0.0,,
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,0.0,,
Cc1cccc(Nc2ccccc2C(=O)O)c1C,0.0,,
CN=C(NC#N)NCCSCc1nc[nH]c1C,0.0,,
O=c1nc[nH]c2c1ncn2[C@H]1CC[C@@H](CO)O1,0.0,,
COCCc1ccc(OCC(O)CNC(C)C)cc1,1.0,,
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,0.0,,
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,1.0,,
O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,1.0,,
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C.[Br-],0.0,,
NC(=O)c1cnccn1,1.0,,
CN(C)C(=O)Oc1ccc[n+](C)c1.[Br-],1.0,,
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,1.0,,0.43
c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,0.0,,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,0.0,,
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.0,,
CC(C)c1nc(-c2ncn3c2CN(C)C(=O)c2c(Cl)cccc2-3)no1,1.0,,
Cc1ccc(Cc2cnc(NCCSCc3ccc(C(C)(C)N)o3)[nH]c2=O)cn1,0.0,,
CN1CCN2c3ccccc3Cc3ccccc3C2C1,1.0,,
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,0.0,,
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,0.0,,
FCOC(C(F)(F)F)C(F)(F)F,1.0,,
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I.[Na+],0.0,,
Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,1.0,,
CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](N=C(N)N)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,0.0,,
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,1.0,,
C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O,0.0,,
OCc1cccnc1,0.0,,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0.0,,
NCC(O)c1cccc(O)c1,0.0,,
CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1,0.0,,
C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0.0,,
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,0.0,,
FC(F)(F)c1ccc(N2CCNCC2)nc1Cl,1.0,,
Clc1ccc2c(c1)[C@H]1CNC[C@H]1c1ccccc1O2,1.0,,
Cc1cccc2c1Oc1ccccc1[C@@]1(O)CCNC[C@H]21,1.0,,
C=CC[C@H](N)c1ccccc1-c1noc2ccccc12,1.0,,
Cc1cccc2c1Oc1ccccc1[C@@]1(O)CCN(C)C[C@H]21,1.0,,
CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,0.0,,
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,1.0,,
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1.0,,
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,1.0,,
NS(=O)(=O)Cc1noc2ccccc12,1.0,,
C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C\C=C/C=C\C=C/C=C\C=C/C=C\[C@H](C)[C@@H](O)[C@H]1C)O2,0.0,,
Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O.[Ca+2],1.0,,
CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12.O.O,0.0,,
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,0.0,,
CC(COc1ccccc1)N(CCCl)Cc1ccccc1,0.0,,
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0.0,,
CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,0.0,,
CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)[C@@H]12,1.0,,
CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,1.0,,
Nc1[nH]c(=O)ncc1F,1.0,,0.68
O=NN(CCCl)C(=O)NC1CCCCC1,1.0,,
S=P(N1CC1)(N1CC1)N1CC1,1.0,,
CN[C@H](CC(C)C)C(=O)NC1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,0.0,,
CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,0.0,,
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,0.0,,
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,0.0,,
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0.0,,
CC(C)NCC(O)COc1cccc2ccccc12,0.0,,
