SMILES,Caco2_Wang,PAMPA_NCATS,HIA_Hou,Pgp_Broccatelli,Bioavailability_Ma,Lipophilicity_AstraZeneca,Solubility_AqSolDB,HydrationFreeEnergy_FreeSolv
C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.8200002,,,,,,,
C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)NC1=O,-5.8200002,,,,,,,
C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,-5.8200002,,,,,,,
C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.8200002,,,,,,,
O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-4.4099998,,,,,,,
C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC1=O,-5.8200002,,,,,,,
C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC1=O,-5.8200002,,,,,,,
C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C1=O,-5.8200002,,,,,,,
C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.8200002,,,,,,,
CC(=O)Nc1ccc(O)cc1,-4.4400001,,,,,,,
C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.8200002,,,,,,,
C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.8200002,,,,,,,
C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,-5.8200002,,,,,,,
C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.3000002,,,,,,,
C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.0,,,,,,,
C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.8200002,,,,,,,
C[C@H]1C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,-5.8200002,,,,,,,
C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C1=O,-5.8200002,,,,,,,
C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,-5.3000002,,,,,,,
C[C@H]1C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,-4.6999998,,,,,,,
C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C1=O,-5.0,,,,,,,
C[C@H]1C(=O)N(C)[C@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,-5.3000002,,,,,,,
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,-4.6900001,,,,,,,
O=c1c(OC2C(O)OC(CO)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,-6.170000099999998,,,,,,,
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,-4.9299998,,,,,,,
O=c1cc(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3OC[C@](O)(CO)[C@H]3O)cc(O)c12,-7.119999900000002,,,,,,,
NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,-7.389999900000001,,,,,,,
N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1.O,-7.3400002,,,,,,,
CC(C)S(=O)(=O)n1c(N)nc2ccc(/C(=C/C(N)=O)c3c(F)c(F)cc(F)c3F)cc21,-4.1999998,,,,,,,
CC(C)S(=O)(=O)n1c(N)nc2ccc(/C(=C/C(N)=O)c3ccccc3F)cc21,-4.54,,,,,,,
C.CC(C)n1c(N)nc2ccc(/C(=C/C(N)=O)c3cccc(F)c3F)cc21,-5.3000002,,,,,,,
CC(C)S(=O)(=O)n1c(N)nc2ccc(/C(=C/C(N)=O)c3ccc(F)c(F)c3F)cc21,-4.329999900000002,,,,,,,
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,-5.21,,,,,,-3.783,
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,-6.1524997,,,,,,,
CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,-5.4109998,,,,,,,
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,-4.6599998,,,,,,-4.5,-10.21
COc1ccc2cc(C(C)C(=O)[O-])ccc2c1.[Na+],-4.329999900000002,,,,,,,
O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,-4.6550002,,,,,,,
O=C(NC(Cc1c[nH]c2ccccc12)C(=O)O)OCc1ccccc1,-5.8000002,,,,,,,
C/C=C/c1cc(OC)c2c(c1)C(C)C(c1cc(OC)c(O)c(OC)c1)O2,-5.3400002,,,,,,,
C=CCc1cc(OC)c(OC(C)Cc2cc(OC)c(OC)c(OC)c2)c(OC)c1,-4.73,,,,,,,
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,-5.6999998,,,,,,,
Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,-5.579999900000002,,,,,,,
C=CCOc1ccccc1OC[C@@H](CNC(C)C)OC(=O)C1CC1,-4.545000099999998,,,,,,,
N=C(N)c1ccc2[nH]c(Cc3nc4ccccc4[nH]3)nc2c1,-6.6999998,,,,,,,
N/C(=N/O)c1ccc2[nH]c(-c3ccccn3)nc2c1,-4.6500001,,,,,,,
Cc1ccnc2nc(Cc3nc4cc(C(=N)N)ccc4[nH]3)[nH]c12,-7.0500002,,,,,,,
CCOC(=O)NC(=N)c1ccc2[nH]c(Cc3nc4ccccc4[nH]3)nc2c1,-6.1500001,,,,,,,
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,-5.8400002,,,,,,,
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,-4.987,,,,,,-5.09,
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,-4.7199998,,,,,,,
CC(C)NC[C@H](COc1cccc2ccccc12)OC(=O)C1CC1,-4.5100002,,,,,,,
O=c1c(-c2ccc(O)cc2)coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc12,-6.4000001,,,,,,,
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,-4.6900001,,,,,,,
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,-7.619999900000002,,,,,,-0.3962,
C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,-5.4000001,,,,,,,
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,-4.96,,,,,,,
C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@H](N)CO,-5.329999900000002,,,,,,,
NCCc1c[nH]c2ccc(O)cc12,-4.8600001,,,,,,,
CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)[nH]c12,-4.5100002,,,,,,,
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,-4.75,,,,,,,
O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,-5.378171,,,,,,,
NC(=O)N1C(=O)C(C(=O)c2cccs2)c2cc(Cl)ccc21,-4.5700002,,,,,,,
NC(Cc1c[nH]c2ccccc12)C(=O)O,-5.3899999,,,,,,,
C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C,-5.5500002,,,,,,,
O=C(O)c1ccccc1,-4.0050001,,,,,,-1.619929844,
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,-5.48,,,,,,,
CCOC(=O)[C@H](Cc1ccc(OC(=O)N(C)C)cc1)NC(=O)[C@H]1N(S(=O)(=O)c2cnn(C)c2)CSC1(C)C,-5.369999900000002,,,,,,,
CC(C)OC(=O)[C@H](Cc1ccc(OC(=O)N(C)C)cc1)NC(=O)[C@H]1N(S(=O)(=O)c2cnn(C)c2)CSC1(C)C,-5.170000099999998,,,,,,,
CN(C)C(=O)Oc1ccc(C[C@H](NC(=O)[C@H]2N(S(=O)(=O)c3cnn(C)c3)CSC2(C)C)C(=O)OCC(C)(C)C)cc1,-5.3400002,,,,,,,
CN(C)C(=O)Oc1ccc(C[C@H](NC(=O)[C@H]2N(S(=O)(=O)c3cnn(C)c3)CSC2(C)C)C(=O)OCOC(=O)C(C)(C)C)cc1,-5.5999999,,,,,,,
COCCOCCOC(=O)[C@H](Cc1ccc(OC(=O)N(C)C)cc1)NC(=O)[C@H]1N(S(=O)(=O)c2cnn(C)c2)CSC1(C)C,-5.6900001,,,,,,,
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,-6.0250001,,,,,,,
CC(C)C[C@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)/C=C\c2ccccc2OC1=O,-5.880000099999998,,,,,,,
CC(C)C[C@H]1NC(=O)[C@@H](CC2CCCCC2)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)/C=C\c2ccccc2OC1=O,-6.4699998,,,,,,,
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,-4.1100001000000015,,,,,,,
CC(C)(C)CC(=O)Nc1c(F)cc(C(=O)Nc2nccs2)cc1F,-4.059999899999998,,,,,,,
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,-6.23,,,,,,,
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1,-6.764999900000001,,,,,,,
CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,-6.3600001,,,,,,-1.58,
CC(=O)NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12)c1ccccc1,-6.630000099999998,,,,,,,
CC/C=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(COC(N)=O)CS[C@H]12)c1csc(N)n1.Cl.O,-5.1100001,,,,,,,
C/N=C(\NC#N)NCCSCc1[nH]cnc1C,-5.9000001,,,,,,,
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,-4.5100002,,,,,,-4.64,
CN(C(=O)[C@H](Cc1ccc(C(=N)N)cc1)NS(=O)(=O)c1ccc2ccccc2c1)C1CCCC1,-6.6989698,,,,,,,
NCc1cccc(Cc2ncccn2)c1,-4.5968795,,,,,,,
CNS(=O)(=O)c1ccc(Cl)cc1,-4.186419,,,,,,,
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,-6.251812,,,,1.0,,,
CN/C(=N\CCSCc1nc[nH]c1C)NC#N,-6.0420098,,,,,,,
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)Cc1ccc(O)cc1,-7.4317985,,,,,,,
COc1cccc(-n2c(=O)n(Cc3c(F)cccc3Br)c(=O)n(C[C@H](N)c3ccccc3)c2=O)c1F,-4.856985099999998,,,,,,,
COc1cccc(-n2c(=O)n(Cc3ccccc3C#N)c(=O)n(C[C@H](N)c3ccccc3)c2=O)c1F,-4.5917602,,,,,,,
CC(=O)c1cccc(NC(=O)N[C@@H]2CCCC[C@H]2CN2CCC[C@@H](Cc3ccc(F)cc3)C2)c1,-4.9586072,,,,,,,
Nc1nc(O)c2ncn([C@@H]3C[C@H](CO)[C@H]3CO)c2n1,-6.0555172,,,,,,,
COCCc1ccc(OCC(O)CNC(C)C)cc1,-4.3493013,,,,1.0,,,
CC(C)CNC(=O)[C@H](C)NC[C@H](Cc1ccccc1)NC(=O)c1cc(CCC2C[C@@H]2C)cc(N(C)S(C)(=O)=O)c1,-4.6197886,,,,,,,
CC(C)CNC(=O)[C@H](C)NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1,-5.0,,,,,,,
CCOC(=O)c1c(Cl)cccc1-c1cnc([C@@H](C)NC(=O)C2(NC(=O)C(F)(F)F)CC2)c(F)c1,-4.5528421,,,,,,,
C[C@@H](NC(=O)C1(NC(=O)C(F)(F)F)CC1)c1ccc(-c2cc(Cl)cc(F)c2-c2nnn(C)n2)cc1F,-4.6382723,,,,,,,
Cc1nc(-c2c(Cl)cc(Cl)cc2-c2ccc([C@@H](C)NC(=O)C3(NC(=O)C(F)(F)F)CC3)c(F)c2)no1,-4.6382723,,,,,,,
COC(=O)c1c(Cl)cc(Cl)cc1-c1cnc([C@@H](C)NC(=O)C2(NC(=O)C(F)(F)F)CC2)c(F)c1,-4.5376019,,,,,,,
C[C@@H](NC(=O)C1(NC(=O)C(F)(F)F)CC1)c1ccc(-c2cc(Cl)ccc2-c2nnn(C)n2)cc1F,-4.5528421,,,,,,,
CCOC(=O)c1c(Cl)cc(Cl)cc1-c1ccc([C@@H](C)NC(=O)C2(NC(=O)C(F)(F)F)CC2)c(F)c1,-4.6020598,,,,,,,
CCOC(=O)c1c(Cl)cc(Cl)cc1-c1cnc([C@@H](C)NC(=O)C2(NC(=O)C(F)(F)F)CC2)c(F)c1,-4.6020598,,,,,,,
COC(=O)c1c(Cl)cccc1-c1cnc([C@@H](C)NC(=O)C2(NC(=O)C(F)(F)F)CC2)c(F)c1,-4.6020598,,,,,,,
Cc1nc(-c2ccc(Cl)cc2-c2ccc([C@@H](C)NC(=O)C3(NC(=O)C(F)(F)F)CC3)c(F)c2)no1,-4.5086384000000015,,,,,,,
COC(=O)c1c(Cl)cccc1-c1ccc([C@@H](C)NC(=O)C2(NC(=O)C(F)(F)F)CC2)c(F)c1,-4.468521099999999,,,,,,,
O=C(N[C@@H]1CCOC[C@@H]1C(=O)NO)c1ccc(Cc2c(C(F)(F)F)nn3ccccc23)cc1,-5.7447276,,,,,,,
CC(C)(C)c1nn2ccccc2c1Cc1ccc(C(=O)N[C@@H]2CCOC[C@@H]2C(=O)NO)cc1,-5.3665314,,,,,,,
Cc1ccc(C(F)(F)CNc2ccc(C#N)c(CC(=O)NCCONC(=N)N)c2F)nc1,-6.188375,,,,,,,
N#Cc1ccc(NCC(F)(F)c2cccc(F)c2)c(F)c1CC(=O)NCCONC(=N)N,-5.741402099999998,,,,,,,
CN(OCCNC(=O)Cc1c(C#N)ccc(NCC(F)(F)c2ccccn2)c1F)C(=N)N,-6.3723636,,,,,,,
c1csc([C@]23CNC[C@H]2C3)c1,-4.7544875,,,,,,,
Cc1nccc2c1[nH]c1ccccc12,-5.223299,,,,,,,
[Cl-].c1c2c(cc3c1OCO3)-c1cc3ccc4c(c3c[n+]1CC2)OCO4,-4.9574246,,,,,,,
C[C@@H]1O[C@@H](c2ccc(Cl)cc2)OC[C@H]1N,-4.9279342,,,,,,,
C[C@@H]1O[C@@H](c2ccc(N(O)O)cc2)OC[C@H]1N,-4.8885694000000015,,,,,,,
C=C(c1ccccc1)C1OCC(N)CO1,-4.9913998,,,,,,,
C=C(c1ccccc1)[C@H]1OC[C@@H](N)[C@H](C)O1,-4.9880071,,,,,,,
C[C@@H]1O[C@@H](c2ccc(Cl)cc2)OC[C@H]1NC(=O)Cc1ccccc1,-4.9920392,,,,,,,
C=C(c1ccccc1)C1OCC(NC(=O)Cc2ccccc2)CO1,-5.0498786,,,,,,,
CN(C)CCC=C1c2ccccc2CCc2ccccc21,-3.9006648,,,,,,,
CC(NC(=O)C(N)CC(N)=O)C(N)=O,-6.5885487000000005,,,,,,,
Nc1nc(/C(=C\CC(=O)O)C(=O)NC2C(=O)N3C(C(=O)O)=CCSC23)cs1,-6.0604806,,,,,,,
Cc1cn([C@H]2C[C@H]([N-][NH+]=N)[C@@H](CO)O2)c(=O)[nH]c1=O,-5.1850867,,,,,,,
C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](OC(=O)CCC(=O)O)O[C@@H]3OC4(C)CC[C@@H]1[C@@]23OO4,-5.4001169,,,,,,,
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@@H](N)C3=CCC=CC3)[C@H]2SC1,-5.6925039,,,,,,,
NC(N)=N/N=C/c1c(Cl)cccc1Cl,-4.363411900000001,,,,,,,
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,-4.9299622,,,,,,,
NC(N)=Nc1nc(CSCC/C(N)=N\S(N)(=O)=O)cs1,-5.9488473,,,,,,,
Nc1cc(-c2ccncc2)c[nH]c1=O,-4.7544875,,,,,,,
CN[C@@H](C)[C@@H](O)c1ccccc1,-4.9913998,,,,,,,
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@H](O)C[C@H](O)CC(=O)O,-5.309804,,,,,,,
Cc1ccc(/C(=C/CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,-5.720623000000002,,,,,,,
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,-4.389419599999999,,,0.0,,,,
C[C@H](N)Cc1ccccc1,-4.3899999,,,,,,,
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,-6.0700002,,,,,,,
CC1CCC2C(C)C(OC(=O)CCC(=O)O)OC3OC4(C)CCC1C32OO4,-5.4000001,,,,,,,
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,-5.3099999,,,,0.0,,,
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,-4.6599998,,,,,,,
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,-4.7600002,,,,1.0,,,
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,-3.9519544,,,,1.0,,,
CN(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O,-4.46,,,,,,,
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC12)c1ccco1,-6.29,,,,,,,
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,-4.8050604,,,,,,,
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,-5.5,,,,1.0,,,
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,-4.5500002,,,,1.0,,,
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,-4.2800002,,,,,,,
CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,-4.7399998,,,1.0,,,,
O=c1[nH]c2cc(Cl)ccc2o1,-4.190000100000002,,,0.0,,,,
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,-5.4699998,,,,1.0,,,
CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1,-4.5100002,,,,,,,
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,-4.2800002,,,,,,,
COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,-4.7399998,,,,,,,
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-4.460681,,,0.0,1.0,,,
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H]6C[C@@H](O)[C@]7(C)C(C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,-5.6316042,,,,,,,
